Date,Closing Price
2013-01-01,105.35
2013-01-02,105.28846168985369
2013-01-03,105.30744995181415
2013-01-04,105.14350374358176
2013-01-05,105.1266372384232
2013-01-06,105.20761848193352
2013-01-07,105.46026100584936
2013-01-08,105.44974758088625
2013-01-09,105.4744919453157
2013-01-10,105.25576051182117
2013-01-11,105.21664018899111
2013-01-12,105.17465748022227
2013-01-13,105.13496681023062
2013-01-14,105.0586911135989
2013-01-15,105.10756934129088
2013-01-16,105.08286935079832
2013-01-17,104.93368255261733
2013-01-18,104.86203864364285
2013-01-19,104.8771265516852
2013-01-20,104.95116058699189
2013-01-21,105.00741672376435
2013-01-22,105.08542812463695
2013-01-23,105.0948543381552
2013-01-24,105.03858521196116
2013-01-25,105.17033116988014
2013-01-26,105.12142825801995
2013-01-27,104.952200452889
2013-01-28,104.93146972406113
2013-01-29,105.12588771402652
2013-01-30,105.31520947894887
2013-01-31,105.19038925763141
2013-02-01,105.154198466783
2013-02-02,105.14845790735338
2013-02-03,105.2336149101123
2013-02-04,105.0862340877382
2013-02-05,107.88582030413346
2013-02-06,108.10830826705936
2013-02-07,108.17979611060092
2013-02-08,108.17924150380044
2013-02-09,108.11851716851253
2013-02-10,108.01600392008153
2013-02-11,108.02247669381046
2013-02-12,107.95504089775066
2013-02-13,108.0006299850764
2013-02-14,107.96637006657753
2013-02-15,107.75050733298556
2013-02-16,107.85371364703082
2013-02-17,108.14321323436766
2013-02-18,108.18832602044408
2013-02-19,108.124240629702
2013-02-20,108.22747409457382
2013-02-21,108.10177124467201
2013-02-22,108.1034181480587
2013-02-23,108.1432763195903
2013-02-24,108.1281196286181
2013-02-25,108.20870314275567
2013-02-26,108.26871661772844
2013-02-27,108.20631315077175
2013-02-28,108.30313692164191
2013-03-01,108.47561772352552
2013-03-02,108.46922380992831
2013-03-03,108.5852553251699
2013-03-04,108.51038046374507
2013-03-05,108.71450022227506
2013-03-06,108.79958349429903
2013-03-07,108.89535069657218
2013-03-08,108.85849667717274
2013-03-09,108.98597690205823
2013-03-10,108.98853166460462
2013-03-11,108.86460505881539
2013-03-12,108.9560182282122
2013-03-13,108.9989919879135
2013-03-14,109.04793521554676
2013-03-15,108.92829024637741
2013-03-16,109.01381529909571
2013-03-17,109.10458850811429
2013-03-18,109.00920541676754
2013-03-19,108.91411212349453
2013-03-20,108.85883527841499
2013-03-21,108.98894117495702
2013-03-22,108.94602077896164
2013-03-23,108.83787009455503
2013-03-24,108.85790662696407
2013-03-25,108.87051641059755
2013-03-26,108.9635708275464
2013-03-27,109.00912046970481
2013-03-28,108.98344067393194
2013-03-29,108.87840111253252
2013-03-30,108.99158552377887
2013-03-31,109.07428185063966
2013-04-01,108.9707888585426
2013-04-02,108.81140979445354
2013-04-03,108.81290878057902
2013-04-04,108.63922911542487
2013-04-05,108.84774650357926
2013-04-06,109.00001612485575
2013-04-07,108.94355343974291
2013-04-08,109.04884984578362
2013-04-09,109.00421387708704
2013-04-10,109.09005526583927
2013-04-11,109.08976334673403
2013-04-12,109.00994892359496
2013-04-13,108.9685291036968
2013-04-14,108.99296030908208
2013-04-15,108.9107864334497
2013-04-16,108.8915666118647
2013-04-17,108.78164975874893
2013-04-18,108.7587519840041
2013-04-19,108.49959600101396
2013-04-20,108.42903316633897
2013-04-21,108.31535848287227
2013-04-22,108.28773225322784
2013-04-23,108.33187109671144
2013-04-24,108.28566330611615
2013-04-25,108.10274634723498
2013-04-26,108.2497007205756
2013-04-27,108.34062926000922
2013-04-28,108.28404566631264
2013-04-29,108.0615061746729
2013-04-30,107.99610031412271
2013-05-01,108.0376496039152
2013-05-02,108.19116848695826
2013-05-03,108.07021271415014
2013-05-04,108.07721883953101
2013-05-05,108.00316088459239
2013-05-06,108.10461676452825
2013-05-07,108.13856544145085
2013-05-08,108.22479292066052
2013-05-09,108.26692689299396
2013-05-10,108.21358237890134
2013-05-11,108.3448179773367
2013-05-12,108.3821541193051
2013-05-13,108.45240044674354
2013-05-14,108.4936522089929
2013-05-15,108.4773868093959
2013-05-16,108.47991889263388
2013-05-17,108.42479337501679
2013-05-18,108.41097562906337
2013-05-19,108.30185801794015
2013-05-20,108.1984635293999
2013-05-21,108.18144251670714
