"","x"
"1",2.00585378844337
"2",2.09085703489326
"3",2.80006740584835
"4",1.23905644406071
"5",2.0587594107987
"6",2.5898806851137
"7",3.00344654642721
"8",1.50366683528777
"9",2.28821969906198
"10",3.20102635365461
"11",2.87937583741646
"12",1.60034716325767
"13",2.5336238573908
"14",3.69009894925765
"15",3.73428132680392
"16",2.11998832559926
"17",3.24094115918772
"18",4.48116822811134
"19",4.57103736685939
"20",2.57254019515653
"21",3.78042449596794
"22",5.00529254818557
"23",5.92205521292234
"24",2.58283268216071
"25",4.00400977566571
"26",6.03126350128805
"27",6.81447609530242
"28",2.70518579777173
"29",5.21427996615596
"30",7.61370886053142
"31",9.22255446172521
"32",3.69255835676321
"33",6.58506503611634
"34",9.65317118344717
"35",10.2006510912365
"36",4.00439072662903
"37",7.16552808070702
"38",11.7114735674053
"39",13.6358069083592
"40",4.85533831407929
"41",10.711534339162
"42",14.5038118194136
"43",16.4292074974284
"44",6.71073884987147
"45",12.6609619484268
"46",21.5994002123628
"47",20.7085209635316
"48",7.4057726363795
"49",15.5682167203581
"50",24.0412734835808
"51",23.382905172666
"52",10.8683314009192
"53",18.3398662682148
"54",31.8971115423081
"55",29.1023546157135
"56",12.9178182896716
"57",22.2866814776014
